uri,title,popularity,base_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
47TFLCa75gmHLZndL0OXxJ,It's Beginning To Look A Lot Like Christmas,3,83.0,0.488,0.211,0,-15.018,0,0.048,0.765,0.0,0.136,0.574,95.781,166000,4
0IfTkYdVPl4R72T8vLKxrp,"Una rima una jam (feat. Coez,Gemitaiz)",43,61.333333333333336,0.634,0.726,0,-5.566,1,0.228,0.0592,0.0,0.536,0.551,80.772,226587,4
7GDDgKgZTEQ5eF1ovIpdA8,+,0,78.0,0.561,0.678,8,-4.23,1,0.0324,0.0996,0.0,0.125,0.662,160.042,219355,4
0GiwV6v3AgJfdu59tj719Y,Pump It Up,75,62.0,0.899,0.894,1,-7.255,1,0.222,0.203,9.95e-05,0.0606,0.654,129.047,150635,4
1B6wZVtq3R0cKJbrr6Uv7y,"Preludes, Op. 28: No. 7, Andantino in A Major",0,54.0,0.496,0.000667,9,-42.342,1,0.112,0.994,0.941,0.0469,0.32,139.872,60640,5
0sAroRXvF6YQqMdonRDE9e,La più bella,65,65.5,0.753,0.705,1,-5.393,0,0.114,0.371,1.61e-06,0.114,0.613,108.007,201250,4
60oJSn5MTG2VNvCJKwd65M,Cascare nei tuoi occhi,60,72.0,0.732,0.46,0,-8.629,1,0.104,0.541,0.0,0.0896,0.405,67.983,226160,4
2DlnDlKeBUYOX8AfByrGtp,Romolo e Remo (feat. Pyrex),49,60.5,0.716,0.688,8,-7.053,0,0.145,0.0333,0.0119,0.248,0.747,137.004,173493,4
70im6fWHD1m7VQve5I6Yim,"BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)",61,63.5,0.692,0.711,7,-6.272,1,0.102,0.498,0.0,0.233,0.718,139.985,208853,4
6EM7JApNrP4fftMlDsOAZG,White Christmas (with Shania Twain),75,82.5,0.628,0.484,10,-7.588,1,0.0319,0.469,1.23e-05,0.126,0.642,63.476,216627,4
6XPYGFacwZAtmoSVi9m4eT,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",55,53.0,0.657,0.54,9,-8.12,1,0.133,0.00551,1.38e-05,0.0803,0.255,150.097,176000,4
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),85,90.0,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4
2svoCXTQnV52hJMU4PeSok,First Times,55,96.0,0.587,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845,185853,4
3B7FO3kJ5kv3mX7yiaB7sT,O Holy Night,77,87.0,0.368,0.505,4,-7.208,1,0.0285,0.367,6.63e-06,0.154,0.192,173.977,266933,3
1sTsuZTdANkiFd7T34H3nb,Human,76,80.0,0.557,0.8,10,-8.477,1,0.0601,0.00132,0.0012,0.0906,0.582,135.47,245373,4
3mFe6hoPSnQchFK14aKUf9,Jingle Bells - Remastered 1999,2,86.0,0.706,0.383,8,-11.439,1,0.0346,0.764,0.0,0.0608,0.853,86.991,122160,4
047M97iVITW3eCHmzFddfg,"Slaves To Rome - From ""Gladiator"" Soundtrack",0,69.66666666666667,0.401,0.515,9,-14.506,0,0.0329,0.755,0.916,0.149,0.492,68.101,60493,4
2iPIjaI1KJxUMqCNuHTMtq,O calippo te piace,39,32.0,0.706,0.651,11,-11.372,0,0.0386,0.0904,9.34e-06,0.328,0.928,132.858,216658,4
64zyMchwUwVEBxu5zg9nXr,Have Yourself A Merry Little Christmas - Remastered 1999,3,86.0,0.303,0.137,8,-15.235,1,0.032,0.913,7.31e-06,0.267,0.299,137.484,206600,4
3QdtpN3K8s2aDsX6o10KZK,SAPORE – with Tedua,75,72.0,0.76,0.692,5,-6.243,1,0.113,0.061,2.8e-06,0.303,0.482,125.041,195480,4
0COmugdfmCITil997mvPHd,La follia non ha età RMX (feat. Dani Faiv),49,58.0,0.798,0.7,2,-5.915,1,0.395,0.0287,0.0,0.0248,0.882,101.882,170588,4
4CvCcKav50ExFNhSOz8kPA,Dancing On My Own,1,82.0,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285,4
1Phn2wVbdKro6gsZJ4eAeB,"Christmas Oratorio, BWV 248 / Part Four - For New Year's Day: No. 37 Evangelist: ""Und da acht Tage um waren""",0,61.0,0.527,0.0339,11,-24.729,1,0.0535,0.966,0.0,0.226,0.239,100.901,32400,5
6jrj7u83iaI0GLar59DSZl,Dark Horse,2,81.5,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,215672,4
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,79,81.0,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4
1lqMLr9Wj7SM2F9AikGcxN,Hurricane,70,75.0,0.509,0.827,0,-7.715,1,0.079,0.0409,0.0,0.12,0.743,135.601,512733,4
4ZKuts37gtJIPctGkyVcbY,"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": I. Allegro",0,54.5,0.346,0.057,0,-24.757,1,0.0373,0.992,0.868,0.143,0.537,141.073,180000,4
7wOlUGZe0N2DumR5lIgMgX,Selfish Love,2,84.5,0.725,0.681,5,-6.8,0,0.103,0.0201,0.301,0.0995,0.453,110.938,168649,4
21S6EicU7LXhS4ampzsOAQ,Senza Un Perché,57,51.0,0.795,0.472,6,-8.308,0,0.0454,0.645,8.8e-05,0.104,0.533,109.232,164907,4
32H4GCKJdCZ2K7g7Ov3vj9,Sesso e droga (feat. Guè & Gemitaiz),63,74.33333333333333,0.683,0.784,5,-6.309,1,0.0572,0.117,0.0,0.0666,0.27,109.959,211967,4
286TLtk120rnrmVeQClDTc,Walking On A Dream,52,73.0,0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,198440,4
3nOz1U41SZZ0N3fuUWr9nb,I AM WOMAN,87,71.0,0.646,0.471,10,-9.247,1,0.157,0.122,0.0,0.125,0.455,170.084,232813,4
1ixabcwEV1FQ2JyTqZ29qD,Quelli che arriveranno - Baby Cip!,24,56.0,0.651,0.528,11,-11.254,0,0.0926,0.424,0.00592,0.117,0.368,170.941,276140,3
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,80,80.0,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400,4
3EmO69zNoYRAXYAGIQVuJp,T,3,37.0,0.562,0.453,10,-9.911,0,0.0949,0.108,0.793,0.111,0.0359,139.401,209156,4
0k4WmlLM6M4jfpaWPmKLQv,Para que puedas olvidarme,0,69.0,0.677,0.678,0,-8.025,0,0.0346,0.251,7.76e-06,0.0723,0.856,151.241,215293,4
22mPEYsHFBwVwjmkwx2cHT,Until The Plug Comes Back Around,76,95.0,0.701,0.725,9,-5.75,1,0.0488,0.237,0.0,0.159,0.537,144.989,173678,4
1yvMUkIOTeUNtNWlWRgANS,Unstoppable,81,89.0,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,4
0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,78,71.0,0.765,0.29,4,-17.117,0,0.139,0.0279,0.0,0.571,0.506,92.409,298773,4
4rl8rK1ho0EwAxIk4VcD8p,FEDE E SPERANZA – with Speranza,61,65.5,0.748,0.719,5,-5.778,1,0.31,0.0569,0.0,0.15,0.447,129.964,145846,4
5S8BB5FILokyYmN0BZruDQ,"MACHETE SATELLITE (feat. Salmo, Taxi B & Greg Willen)",57,60.833333333333336,0.507,0.898,3,-4.493,0,0.477,0.079,0.0,0.0835,0.527,142.828,146987,4
2oD3ivFZnfyciys07pNXoN,Never Gonna Give You Up,57,58.0,0.736,0.417,9,-11.39,0,0.0324,0.697,0.00249,0.0967,0.399,101.969,187969,4
3ghSLPbLtQ02Zsnep1IQ5w,papercuts,1,85.0,0.528,0.627,11,-3.719,1,0.0373,0.0107,0.0,0.529,0.295,139.988,180371,4
2ALJr1qNX1OgTPBHUGn98v,Scooteroni - RMX,58,80.0,0.747,0.791,7,-4.324,1,0.151,0.29,0.0,0.406,0.415,115.034,272280,4
3W9CL2ROQgx6jZ24AR7oAZ,cardigan,1,100.0,0.612,0.58,0,-8.572,0,0.0419,0.525,0.000414,0.26,0.534,130.045,239560,4
4HFi2c6xfNGYKKidQqI0HG,EL MAKINON,0,80.5,0.689,0.705,0,-3.224,0,0.102,0.256,1.06e-06,0.108,0.456,89.109,209160,4
71v9NlWdwxpYkwY2H4tmyK,Someone You Loved,3,82.0,0.501,0.405,1,-5.679,1,0.032,0.751,0.0,0.105,0.447,109.889,182173,4
6s2wpWPFPAgKg2LXxi1Oee,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",83,80.0,0.357,0.668,0,-8.444,1,0.0479,0.362,1.37e-06,0.727,0.407,139.986,267600,4
0BxE4FqsDD1Ot4YuBXwAPp,505,83,86.0,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,253587,4
7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,74,65.33333333333333,0.751,0.736,5,-4.168,0,0.156,0.0206,0.0,0.265,0.352,130.014,262147,4
2agBDIr9MYDUducQPC1sFU,River Flows In You,74,70.0,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,188787,4
66UkKyxN5YbJl9z7YamQOR,Mon Cheri (feat. Sfera Ebbasta),59,77.0,0.887,0.667,6,-5.681,0,0.0484,0.316,0.0,0.119,0.493,130.032,181867,4
2LD2gT7gwAurzdQDQtILds,Veridis Quo,67,82.0,0.605,0.687,9,-13.928,0,0.045,0.479,0.949,0.104,0.12,106.896,345187,4
2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,86,73.0,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4
42LrSpEHmXHfjEH8NeiQQi,Hola (I Say) (feat. Tom Walker),60,69.0,0.533,0.669,2,-4.875,1,0.0465,0.244,0.0,0.0965,0.141,145.721,227467,4
2g7xewu0kXt7Uo3X8MBlgj,In un'ora,65,58.0,0.776,0.82,11,-4.261,0,0.108,0.239,0.0,0.552,0.827,120.035,182500,4
3Bd5A7Yxg4zxFeiKiYlMId,Don't Worry,59,63.0,0.749,0.747,0,-7.293,1,0.0596,0.131,0.0,0.182,0.598,91.989,186462,4
7vWjyIST4LV6AOJsI0lolL,Pornografia (Bianco Paradiso),70,78.0,0.481,0.912,7,-2.373,1,0.0764,0.236,0.0,0.556,0.748,165.031,158606,4
5LA1Po60D4z7GES4pEBdSp,uomo di varie età,10,58.0,0.673,0.857,7,-3.537,1,0.026,0.046,0.0,0.0827,0.691,107.995,328015,4
5OvdvRJusnW210bD9hHYfC,King Kong (feat. Omar),55,56.333333333333336,0.724,0.716,8,-9.722,1,0.273,0.0403,0.000558,0.324,0.442,140.038,174857,4
5JCoSi02qi3jJeHdZXMmR8,favorite crime,88,91.0,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4
7DF8lvLdV3htIbuTWpc7lR,Girl Of My Dreams (with SUGA of BTS),84,88.33333333333333,0.603,0.771,9,-6.336,1,0.0627,0.194,0.0,0.13,0.332,139.988,226149,4
1t0Jmqg1pKVBbxjQFZebeR,Marea (We’ve Lost Dancing),76,67.0,0.761,0.781,5,-6.778,0,0.141,0.0681,0.108,0.0607,0.473,123.023,285375,4
1AA3XZWWaLTcOgVdeSWg3S,Street,63,74.0,0.725,0.656,0,-5.651,1,0.329,0.0474,0.0,0.209,0.431,132.107,178223,5
6nBSnYn9AxX3825c5gyOqf,La Pared 360,2,86.5,0.776,0.72,2,-4.681,0,0.151,0.231,0.0,0.147,0.829,168.273,152596,4
1PPl6Ik4LZLifkmxASaDFx,In My Mind,58,71.5,0.689,0.762,6,-5.067,1,0.154,0.256,9.13e-06,0.188,0.127,125.887,183575,4
5wf7rShlwoMGQ06PE9OOqs,The Little Drummer Boy - Remastered 2006,0,83.0,0.636,0.165,10,-14.261,1,0.0328,0.885,4.79e-05,0.0502,0.505,112.773,180040,4
3IA9LkBEVhJDOxOnh1nf8a,Butter (Holiday Remix),77,96.0,0.698,0.838,8,-3.553,1,0.0529,0.00188,0.0,0.113,0.87,110.034,161894,4
2YGqtxaGdML9aM5jCwgRw9,"Ciclone (feat. Elodie, Mariah, Gipsy Kings, Nicolás Reyes, Tonino Baliardo)",61,62.333333333333336,0.728,0.868,2,-5.961,0,0.0503,0.0709,0.0,0.23,0.669,119.99,194100,4
1bGyuctekGPsoCjHty6eAY,Partire,55,57.0,0.738,0.813,9,-4.412,1,0.0575,0.0209,0.0,0.324,0.835,127.066,170551,4
04QKkaWc2MJQHrUsXUCx16,drivers license,0,91.0,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,242014,4
0aCVfTVo5Qj16XOosNfg6s,UN GIORNO IN PRETURA,63,73.0,0.765,0.773,6,-5.539,0,0.407,0.0792,0.0,0.303,0.512,123.912,159305,4
5pL8J6weoydzXglhsoJ6Vw,Gli occhi della tigre,58,64.5,0.687,0.799,2,-7.747,1,0.205,0.618,0.0,0.594,0.541,135.176,166133,4
73XSglkzb2nP0NTd6r6dTb,Jasmine,57,65.5,0.826,0.557,10,-7.42,0,0.186,0.0952,0.00771,0.0769,0.595,150.074,183200,4
7L7QYf7S6wg6pseN2C0d6K,Gli occhi,59,66.0,0.661,0.544,4,-7.528,1,0.0782,0.382,0.0,0.164,0.768,99.783,142350,4
1YJ1zGkzqJxdXnYpWZsSKd,Mama,58,84.0,0.784,0.845,7,-4.982,0,0.0865,0.647,4.78e-05,0.0903,0.318,79.993,219095,4
5Vwqy3CS2aCB6jcgm1qWfk,Amore e Capoeira,60,63.666666666666664,0.827,0.697,11,-4.368,0,0.142,0.122,0.0,0.044,0.836,118.083,172455,4
5Lh0AgBMU1xRNLZ8iPW4bS,6 PM,66,59.0,0.669,0.683,8,-6.365,1,0.0369,0.0845,0.0,0.137,0.325,123.959,188710,4
6O28r8nJPjRLdKNHzQab3X,"Christmas Oratorio, BWV 248 / Part Five - For The 1st Sunday In The New Year: No. 50 Evangelist: ""Und ließ versammeln alle Hohepriester""",0,61.0,0.337,0.017,10,-29.259,0,0.0538,0.967,0.0,0.12,0.0579,110.798,84000,4
22YVrbSGjgfu4wg3zfhll7,Sa7Bi,62,53.333333333333336,0.844,0.864,1,-5.456,0,0.103,0.291,2.5e-06,0.104,0.609,126.032,217143,4
5qaEfEh1AtSdrdrByCP7qR,Demons,84,91.0,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,177507,4
2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,81,75.0,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,206067,4
4m0wy51hmBppgByAJOrKtl,Kashmir-Kashmir,47,63.0,0.7,0.884,9,-4.672,1,0.0407,0.0168,0.0,0.326,0.944,122.986,249053,4
2quVkyLSVr5wX2QIhnexUt,Already Dead,78,95.0,0.744,0.495,1,-6.311,1,0.0634,0.0216,0.0,0.111,0.128,83.51,231221,4
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,85,77.0,0.574,0.629,2,-8.815,0,0.0363,0.128,0.0,0.271,0.786,153.119,300107,4
2r1SRt8bhtR6a9bMRR0AgV,La storia infinita,63,72.0,0.701,0.744,4,-3.421,1,0.0411,0.169,0.0,0.115,0.651,89.986,207802,4
7KwZNVEaqikRSBSpyhXK2j,Hypnotize - 2014 Remaster,80,80.0,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,4
5YciOakY5dB5dULkiLdCaf,Stop Crying Your Heart Out,70,79.0,0.38,0.573,2,-5.334,1,0.03,0.077,2.38e-06,0.0776,0.0901,74.988,303133,4
3mddPlUgrOaRBsf2jcRtIP,"Musik zu einem Ritterballett (1790-91), WoO 1: 2. Deutscher Gesang. Allegro moderato",16,74.0,0.41,0.0462,2,-24.095,1,0.0398,0.908,0.777,0.191,0.397,72.454,55893,1
30QR0ndUdiiMQMA9g1PGCm,"...And to Those I Love, Thanks for Sticking Around",86,87.0,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490,4
7CxqTSqAHRUksR3LNAuD2W,Te Acuerdas De Mí,0,86.5,0.782,0.858,8,-4.645,0,0.0599,0.0044,1.99e-06,0.287,0.832,90.01,104067,4
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,84,84.0,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,162399,4
3URmkxqeDHeqRHybMsL5Tz,S,0,3.0,0.218,0.226,10,-17.734,0,0.0374,0.000676,0.772,0.137,0.332,76.815,60029,4
3M89zvwwb1jtDUDKYNsdiA,Calabria (feat. Lujavo & Nito-Onna),74,68.2,0.727,0.904,10,-3.408,0,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
1t6xoDooMgAqlYDOLTrsxj,QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè),60,80.5,0.646,0.874,9,-4.313,1,0.22,0.232,0.0,0.177,0.319,79.588,212316,4
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,82,87.0,0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976,210200,4
3zHq9ouUJQFQRf3cm1rRLu,"Love Me Like You Do - From ""Fifty Shades Of Grey""",81,81.0,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4
5tStyrWqAoQVA2tP8cfWYk,Tutte le volte,62,64.0,0.732,0.805,6,-5.365,1,0.0503,0.0185,0.000119,0.05,0.866,105.034,177200,4
2OQ6a4CfUeYskpTTgyawyJ,You Make It Feel Like Christmas (feat. Blake Shelton),82,77.5,0.635,0.87,2,-4.291,0,0.04,0.0152,0.0,0.118,0.912,92.999,156773,4
2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),79,73.5,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,202627,4
3edSjoNQYXCD5VovCqr6zE,"Arie (Alt): Schlafe, mein Liebster, genieße der Ruh",21,50.25,0.243,0.246,6,-15.456,1,0.0407,0.944,0.973,0.14,0.196,111.834,521733,4
2N4HQV7JawhkLDxsxUcN3W,SIAMO DI UN ALTRO PIANETA,60,60.0,0.76,0.698,6,-5.322,1,0.257,0.0393,0.0,0.104,0.624,129.886,181786,4
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),77,86.0,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,230747,4
3xALgUxUFNYIrbMew1sbnC,Maradona y Pelé,55,59.0,0.683,0.823,9,-4.885,0,0.23,0.0867,0.0,0.406,0.668,119.905,201985,4
5G6jHSoLrzhtPBhS2gMvfW,Forte,60,72.0,0.775,0.661,7,-6.819,1,0.235,0.148,0.00132,0.0857,0.397,100.022,207323,4
5jkbw3FDS3bSSb4oLKYbjf,Freak (feat. REI AMI),75,68.0,0.619,0.45,7,-11.965,0,0.515,0.433,0.0,0.513,0.41,179.755,194000,4
1ESrlUgXWzH0BWspbgqQF5,"Flute Sonata in E Minor, BWV 1034: III. Andante",0,46.0,0.291,0.0697,7,-21.278,1,0.0329,0.617,5.93e-05,0.0843,0.353,73.102,283733,3
31cPyWXo1UdKJsEt4PEWDQ,Gente che spera (feat. Reverendo),55,46.5,0.692,0.701,0,-4.048,1,0.113,0.611,0.0,0.0757,0.96,92.913,248547,4
1wC6GpGuQREAZ0HXulgW6o,Dutty Love,4,81.5,0.736,0.881,1,-3.339,1,0.0887,0.238,1.21e-05,0.11,0.916,89.998,285333,4
1I8pMiv8c8mTP0fvt0pqQs,World We Used To Know,75,75.0,0.467,0.705,11,-4.761,0,0.0578,0.167,9.75e-05,0.18,0.418,85.365,162878,4
4GjIbz2WTtoEGSEXTNyzgi,Have You Ever Seen The Rain,0,79.0,0.741,0.697,0,-7.03,1,0.0277,0.0665,2.35e-05,0.133,0.774,116.109,160133,4
6XzpeMXDvLC86GvAfnUsIA,A Holly Jolly Christmas - Single Version,76,75.0,0.672,0.369,0,-13.081,1,0.0301,0.589,0.0,0.0957,0.863,140.49,133093,4
2dSimaa1gqyr0U0il3gMmd,Accetto Miracoli,55,66.0,0.414,0.434,0,-5.489,1,0.0349,0.882,4.58e-06,0.106,0.213,78.501,211747,4
0W1uTK6I97CbjFKAVtRGfK,Too Much Love Will Kill You - Remastered 2011,64,88.0,0.385,0.395,7,-7.602,1,0.0313,0.58,6.31e-05,0.159,0.21,72.933,259213,4
2067A7EM4exMOzBartS4bm,Perra,0,80.5,0.818,0.953,1,-1.766,1,0.358,0.081,0.000304,0.39,0.751,97.918,157933,4
1FWsomP9StpCcXNWmJk8Cl,K.,74,78.0,0.454,0.4,3,-10.261,1,0.0265,0.139,0.846,0.137,0.327,93.719,320030,4
6lhZLbb0czULpjb2kFryPS,Let's Love,76,89.5,0.662,0.868,5,-4.025,1,0.0341,0.00882,0.00244,0.584,0.353,92.998,200645,4
1mL47gIYg9qxmO4YD03Rb3,Christian Dior,0,89.0,0.839,0.706,7,-5.629,0,0.0728,0.264,1.23e-06,0.106,0.462,92.031,147120,4
4pKDB8nzAnwjq1Ql0bpqW3,Parole Di Burro - Live,54,53.0,0.571,0.34,0,-6.346,0,0.0378,0.575,0.0,0.334,0.114,114.161,133503,4
0iGckQFyv6svOfAbAY9aWJ,Hot N Cold,75,86.0,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227,4
1XyPkRJwmNzbgodXJa0NRv,good 4 u,0,91.0,0.556,0.661,6,-5.052,0,0.204,0.3,0.0,0.101,0.668,168.56,178148,4
0U10zFw4GlBacOy9VDGfGL,We Found Love,76,87.5,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,215227,4
0Uy8lcDHiPDicBQ7rnDgcK,Princes Of The Universe - Remastered 2011,60,88.0,0.386,0.881,7,-5.045,1,0.0922,0.0327,0.0,0.296,0.267,81.397,213827,4
36Wb9k1ID6Y51dF2By2aHf,Sucker,0,81.0,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,181040,4
2TJ3Zvlu7kxulURFUjK3uF,La Notte - RMX,55,53.5,0.493,0.54,0,-8.505,1,0.0574,0.758,1.33e-06,0.105,0.342,115.86,137434,5
0RLLvYBopDwooCyvnTwgYu,F.N,82,86.0,0.567,0.515,6,-10.265,0,0.247,0.354,0.0,0.078,0.321,120.1,224000,1
1ITV1k9laGrWUpagayejMQ,LIVIDI SUI GOMITI,68,85.0,0.474,0.95,7,-2.762,1,0.0898,0.00646,0.000397,0.177,0.67,176.491,165787,4
7crqSyRvbetPDRqCREnGdj,Futuro,59,66.0,0.571,0.667,6,-7.475,1,0.105,0.656,0.0,0.174,0.686,80.025,168000,4
4GzfGOMBjcDK3TpLbkMNpe,Leave Before You Love Me,1,83.5,0.724,0.744,7,-4.757,1,0.0398,0.00219,4.49e-06,0.116,0.645,119.978,154983,4
